year,sex,age,collection_method,sample_acquisition,outbreak,harvest_date,sample_date,permit_area,pls
2018,Male,Adult,2018 Fall Hunter Harvest,Hunter harvested,Fillmore,12/7/2018,12/9/2018,,T103 R10 S33
2018,Male,Yearling,2018 Special Late Hunt (1st weekend),Hunter harvested,Fillmore,12/22/2018,12/22/2018,,T103 R10 S33
2018,Male,Adult,2018 Special Late Hunt (2nd weekend),Hunter harvested,Fillmore,12/27/2018,12/28/2018,,T103 R10 S25
2018,Male,Adult,2018 Special Late Hunt (2nd weekend),Hunter harvested,Fillmore,12/28/2018,12/28/2018,,T101 R11 S02
2019,Female,Adult,Found Dead,Found dead,Fillmore,1/3/2019,1/3/2019,603,T103 R10 S20
2019,Female,Adult,2019 Agency Culled,Agency culled,Fillmore,1/21/2019,1/22/2019,603,T103 R10 S29
2019,Male,Adult,2019 Agency Culled,Agency culled,Fillmore,1/22/2019,1/23/2019,603,T103 R10 S29
2019,Male,Adult,2019 Special Late Hunt 346,Hunter harvested,Houston/Winona,1/25/2019,1/25/2019,,T106 R06 S26
2019,Female,Adult,2019 Agency Culled,Agency culled,Fillmore,1/27/2019,1/28/2019,603,T103 R10 S31
2019,Female,Adult,2019 Agency Culled,Agency culled,Fillmore,1/28/2019,1/29/2019,603,T102 R10 S04
2019,Female,Adult,Found Dead,Found dead,Crow Wing,1/22/2019,1/22/2019,247,T136 R27 S33
2019,Male,Adult,2019 Agency Culled,Agency culled,Fillmore,2/5/2019,2/6/2019,603,T103 R10 S33
